LEMMA,DEFINITION,EXAMPLE,POS
man,an adult male person who has a manly character (virile and courageous competent),the army will make a man of you,n
unheeded,disregarded,his cries were unheeded,s
actually,as a sentence modifier to add slight emphasis,"actually, we all help clear up after a meal",r
camp,providing sophisticated amusement by virtue of having artificially (and vulgarly) mannered or banal or sentimental qualities,campy Hollywood musicals of the 1940's,s
deep,having great spatial extension or penetration downward or inward from an outer surface or backward or laterally or outward from a center; sometimes used in combination,a deep well,a
aged,at an advanced stage of erosion (pronounced as one syllable),aged rocks,s
nastiness,the quality of being unpleasant,I flinched at the nastiness of his wound,n
run,(American football) a play in which a player attempts to carry the ball through or past the opposing team,the defensive line braced to stop the run,n
frequent,coming at short intervals or habitually,frequent complaints,a
standoffishly,in a standoffish manner,"standoffishly, he declined the invitation to the office party",r
history,all that is remembered of the past as preserved in writing; a body of knowledge,from the beginning of history,n
contradistinction,a distinction drawn on the basis of contrast,sculpture in contradistinction to painting,n
rooted,absolutely still,they stood rooted in astonishment,s
magazine,product consisting of a paperback periodic publication as a physical object,tripped over a pile of magazines,n
fight,an aggressive willingness to compete,the team was full of fight,n
import,an imported person brought from a foreign country,the lead role was played by an import from Sweden,n
shrill,of colors that are bright and gaudy,a shrill turquoise,s
defense,the act of defending someone or something against attack or injury,defense against hurricanes is an urgent problem,n
cumbersome,difficult to handle or use especially because of size or weight,a cumbersome piece of machinery,s
unbrushed,(of hair or clothing) not brushed,"the suit was wrinkled and unbrushed, as if it had been slept in",s
unhoped-for,so unexpected as to have not been imagined,an unhoped-for piece of luck,s
square,any artifact having a shape similar to a plane geometric figure with four equal sides and four right angles,a checkerboard has 64 squares,n
boy,a youthful male person,she made the boy brush his teeth every night,n
raw,not processed or subjected to analysis,the raw cost of production,s
estrous,(of lower mammals) showing or in a state of estrus; in heat,the estrous cycle,a
inductive,inducing or influencing; leading on,"inductive to the sin of Eve""- John Milton",s
nomadic,migratory,the nomadic habits of the Bedouins,s
accession,the act of attaining or gaining access to a new office or right or position (especially the throne),Elizabeth's accession in 1558,n
draft,a serving of drink (usually alcoholic) drawn from a keg,they served beer on draft,n
dispensed,distributed or weighted out in carefully determined portions,medicines dispensed to the sick,s
concern,something that interests you because it is important or affects you,the safety of the ship is the captain's concern,n
potency,the power or right to give orders or make decisions,a place of potency in the state,n
enjoyableness,pleasantness resulting from something that can be enjoyed,the enjoyableness of an afternoon at the beach,n
rhetorical,of or relating to rhetoric,"accepted two or three verbal and rhetorical changes I suggested""- W.A.White",a
noise,the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience,modern music is just noise to me,n
straightway,in a direct course,plunged straightway to the rocks below,r
foot,the lower part of anything,curled up on the foot of the bed,n
polar,characterized by opposite extremes; completely opposed,extreme and indefensible polar positions,s
intelligent,having the capacity for thought and reason especially to a high degree,an intelligent question,a
gloomy,causing dejection,a dark gloomy day,s
unacquainted,not knowledgeable about something specified,a person unacquainted with our customs,s
gold,made from or covered with gold,the golden calf,s
spinal,of or relating to the spine or spinal cord,spinal cord,a
curt,"brief and to the point; effectively cut short; `yes'""",a response so curt as to be almost rude,s
irreversibly,in an irreversible manner,this old tradition is irreversibly disappearing,r
shamefaced,showing a sense of guilt,"the hangdog and shamefaced air of the retreating enemy""- Eric Linklater",s
profound,showing intellectual penetration or emotional depth,profound regret,a
evidenced,supported by evidence,their evidenced friendliness to the US,s
acutely,changing suddenly in direction and degree,her shoes had acutely pointed toes,r
mongoloid,characteristic of or resembling a Mongol,the mongoloid epicanthic fold,a
peremptory,putting an end to all debate or action,a peremptory decree,s
occasion,a vaguely specified social event,an occasion arranged to honor the president,n
